Région;Températures les plus chaudes (en °C) ;Heures d'ensoleillement ;TempÈratures les plus froides (en ∞C);Hauteur des prÈcipitations (en mm);Vitesse maximale du vent (en km/h);Date ;;RÈgion;Températures les plus chaudes (en °C) ;Heures d'ensoleillement ;TempÈratures les plus froides (en ∞C);Hauteur des prÈcipitations (en mm);Date
Auvergne;41;2215;-8;733;108;2019;;;;;;;
Limousin;42;2081;-7;911;101;2019;;;;;;;
Languedoc-Roussillon;44;2603;-11;812;191;2019;;;;;;;
Bourgogne;42;2154;-7;666;108;2019;;;;;;;
Lorraine;40;1935;-9;699;101;2019;;;;;;;
Nord-Pas-de-Calais;42;1684;-7;814;122;2019;;;;;;;
Champagne-Ardenne;42;1971;-9;719;108;2019;;;;;;;
Basse-Normandie;40;1884;-5;876;115;2019;;;;;;;
Bretagne;40;1883;-4;927;151;2019;;;;;;;
Midi-Pyrénées;41;2176;-7;915;144;2019;;;;;;;
Alsace;39;2105;-9;626;115;2019;;;;;;;
Picardie;42;1810;-7;702;112;2019;;;;;;;
Pays de la Loire;41;2013;-8;792;137;2019;;;;;;;
Centre;42;2112;-10;665;112;2019;;;;;;;
Poitou-Charentes;41;2190;-4;854;119;2019;;;;;;;
Corse;40;2894;-1;767;169;2019;;;;;;;
Île-de-France;43;1862;-5;656;108;2019;;;;;;;
Haute-Normandie;41;1511;-6;708;130;2019;;;;;;;
Provence-Alpes-Côte d'Azur;43;2710;-10;796;137;2019;;;;;;;
